campID	commID	donorID
6169	16089	100084
7075	20077	100084
7213	20414	100084
5233	12164	100085
6169	16089	100086
7075	20077	100086
7213	20414	100086
6169	16089	100087
7345	20686	100088
6169	16089	100089
7075	20077	100089
5233	12165	100090
6169	16088	100090
7006	19905	100090
7075	20077	100090
7244	20511	100090
7345	20686	100090
6169	16089	100091
6169	16089	100092
7075	20077	100092
7213	20414	100092
5233	12164	100093
6169	16088	100093
7006	19904	100093
7075	20076	100093
7244	20510	100093
7345	20685	100093
5233	12164	100094
6169	16088	100094
7006	19904	100094
7075	20076	100094
7213	20413	100094
7244	20510	100094
7345	20685	100094
5233	12165	100095
6169	16089	100095
7006	19905	100095
7075	20077	100095
7213	20414	100095
7244	20511	100095
7345	20686	100095
5233	12165	100096
6169	16088	100096
7006	19904	100096
7075	20076	100096
7213	20413	100096
7244	20510	100096
7345	20685	100096
5233	12165	100097
6169	16089	100097
7006	19905	100097
7075	20077	100097
7213	20414	100097
7244	20511	100097
7345	20689	100097
5233	12164	100098
6169	16089	100099
7075	20077	100099
7213	20414	100099
5233	12164	100100
6169	16088	100100
7006	19904	100100
7075	20076	100100
7213	20413	100100
7244	20510	100100
7345	20685	100100
5233	12165	100101
6169	16089	100101
7006	19905	100101
7075	20077	100101
7213	20414	100101
7244	20511	100101
7345	20686	100101
6169	16089	100102
7075	20077	100102
7213	20414	100102
5233	12164	100103
6169	16088	100103
7006	19904	100103
7075	20076	100103
7244	20510	100103
7345	20685	100103
6169	16089	100104
5233	12164	100105
6169	16088	100105
7006	19904	100105
7075	20076	100105
7213	20413	100105
7244	20510	100105
7345	20685	100105
6169	16088	100106
5233	12165	100107
6169	16089	100107
7006	19905	100107
7075	20077	100107
7213	20414	100107
7244	20511	100107
7345	20689	100107
5233	12164	100108
6169	16088	100108
7006	19904	100108
7075	20076	100108
7213	20413	100108
7345	20685	100108
5233	12165	100109
6169	16089	100110
7075	20077	100110
7213	20414	100110
5233	12165	100111
6169	16089	100111
7213	20414	100111
5233	12164	100112
6169	16088	100112
7006	19904	100112
7075	20076	100112
7213	20413	100112
7244	20510	100112
7345	20685	100112
6169	16089	100113
7075	20077	100113
7213	20414	100113
7345	20689	100113
6169	16089	100114
7006	19905	100114
7075	20077	100114
7213	20414	100114
7244	20511	100114
7345	20689	100114
5233	12165	100115
6169	16089	100115
7006	19905	100115
7075	20077	100115
7213	20414	100115
7244	20511	100115
7345	20686	100115
5233	12165	100116
6169	16089	100116
7006	19905	100116
7075	20077	100116
7213	20414	100116
7244	20511	100116
7345	20686	100116
5233	12165	100117
6169	16089	100117
7006	19905	100117
7075	20077	100117
7213	20414	100117
7244	20511	100117
5233	12164	100118
6169	16088	100118
7006	19904	100118
7075	20076	100118
7213	20413	100118
7244	20510	100118
7345	20685	100118
6169	16089	100119
7006	19905	100119
7075	20077	100119
7213	20414	100119
7345	20686	100119
5233	12164	100120
6169	16088	100120
7006	19904	100120
7075	20076	100120
7213	20413	100120
7244	20510	100120
7345	20685	100120
5233	12165	100121
6169	16089	100121
7006	19905	100121
7075	20077	100121
7213	20414	100121
5233	12165	100122
7345	20685	100123
5233	12164	100124
6169	16088	100124
7006	19904	100124
7075	20076	100124
7213	20413	100124
7244	20510	100124
